# x  u(x)  d(x)  ubar(x)  dbar(x)
1.5864401892e-01 4.3633491378e+00 2.5747754563e+00 3.8149896245e-01 6.0943151240e-01
1.6354926421e-01 4.2408152543e+00 2.4737437919e+00 3.5604106395e-01 5.6898920275e-01
1.6860617883e-01 4.1196798716e+00 2.3752959307e+00 3.3205437891e-01 5.3013511898e-01
1.7381945236e-01 4.0000254440e+00 2.2793640909e+00 3.0948524034e-01 4.9277738228e-01
1.7919391940e-01 3.8818568357e+00 2.1858914950e+00 2.8826027019e-01 4.5688060344e-01
1.8473456402e-01 3.7648668363e+00 2.0948666864e+00 2.6826123508e-01 4.2258349675e-01
1.9044652440e-01 3.6490881424e+00 2.0062360553e+00 2.4944033183e-01 3.8981548955e-01
1.9633509760e-01 3.5345569859e+00 1.9199332137e+00 2.3173533254e-01 3.5852844159e-01
2.0240574444e-01 3.4210112753e+00 1.8359264619e+00 2.1501853509e-01 3.2887115210e-01
2.0866409463e-01 3.3085096860e+00 1.7541665428e+00 1.9924880318e-01 3.0075648529e-01
2.1511595190e-01 3.1970198883e+00 1.6745660112e+00 1.8437741136e-01 2.7416220176e-01
2.2176729948e-01 3.0863743565e+00 1.5970439781e+00 1.7032276270e-01 2.4916952409e-01
2.2862430556e-01 2.9767089022e+00 1.5215673465e+00 1.5706177849e-01 2.2565520835e-01
2.3569332906e-01 2.8679391455e+00 1.4480551333e+00 1.4453202994e-01 2.0365683122e-01
2.4298092554e-01 2.7600102984e+00 1.3764397627e+00 1.3268199984e-01 1.8317272752e-01
2.5049385322e-01 2.6529909171e+00 1.3066713331e+00 1.2148905000e-01 1.6411608903e-01
2.5823907931e-01 2.5468430364e+00 1.2386681049e+00 1.1090644960e-01 1.4651425534e-01
2.6622378643e-01 2.4416044775e+00 1.1723899161e+00 1.0090633556e-01 1.3028763303e-01
2.7445537930e-01 2.3373285304e+00 1.1077730412e+00 9.1474401062e-02 1.1540315596e-01
2.8294149159e-01 2.2340234821e+00 1.0447605076e+00 8.2581000566e-02 1.0181503954e-01
