x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
7.814888e-01	1.103536e-01	6.477966e-02	1.057347e-01	5.310221e-02	8.667451e-02	1.423779e-02	2.225330e-02
7.888558e-01	1.069242e-01	6.242993e-02	1.036119e-01	5.112117e-02	8.484327e-02	1.277614e-02	2.015702e-02
7.900000e-01	1.063991e-01	6.207169e-02	1.032855e-01	5.081896e-02	8.456129e-02	1.256048e-02	1.984556e-02
7.962995e-01	1.035472e-01	6.013255e-02	1.015069e-01	4.918229e-02	8.302228e-02	1.143072e-02	1.820466e-02
8.000000e-01	1.019038e-01	5.902020e-02	1.004778e-01	4.824275e-02	8.212993e-02	1.080208e-02	1.728333e-02
8.038205e-01	1.002317e-01	5.789219e-02	9.942732e-02	4.728950e-02	8.121765e-02	1.017245e-02	1.635356e-02
8.100000e-01	9.757618e-02	5.610907e-02	9.775066e-02	4.578184e-02	7.975904e-02	9.203704e-03	1.491000e-02
8.114190e-01	9.697401e-02	5.570623e-02	9.736863e-02	4.544117e-02	7.942638e-02	8.991593e-03	1.459193e-02
8.190955e-01	9.376211e-02	5.356738e-02	9.531773e-02	4.363220e-02	7.763908e-02	7.907506e-03	1.295401e-02
8.200000e-01	9.338893e-02	5.331993e-02	9.507803e-02	4.342289e-02	7.743002e-02	7.785908e-03	1.276889e-02
8.268502e-01	9.059994e-02	5.147742e-02	9.327720e-02	4.186428e-02	7.585816e-02	6.900877e-03	1.141199e-02
8.300000e-01	8.933970e-02	5.064884e-02	9.245792e-02	4.116330e-02	7.514237e-02	6.514726e-03	1.081444e-02
8.346835e-01	8.749197e-02	4.943841e-02	9.125035e-02	4.013926e-02	7.408655e-02	5.965319e-03	9.958250e-03
8.400000e-01	8.543335e-02	4.809598e-02	8.989610e-02	3.900347e-02	7.290131e-02	5.384259e-03	9.045556e-03
8.425957e-01	8.444397e-02	4.745303e-02	8.924211e-02	3.845944e-02	7.232840e-02	5.119192e-03	8.626876e-03
8.500000e-01	8.167708e-02	4.566282e-02	8.740161e-02	3.694458e-02	7.071434e-02	4.415490e-03	7.506333e-03
8.505869e-01	8.146091e-02	4.552347e-02	8.725694e-02	3.682669e-02	7.058742e-02	4.362068e-03	7.420623e-03
8.586574e-01	7.853091e-02	4.364258e-02	8.528151e-02	3.523588e-02	6.885406e-02	3.659782e-03	6.284983e-03
8.600000e-01	7.805136e-02	4.333611e-02	8.495562e-02	3.497677e-02	6.856805e-02	3.550065e-03	6.106111e-03
8.668074e-01	7.565493e-02	4.181038e-02	8.331588e-02	3.368724e-02	6.712884e-02	3.031055e-03	5.254675e-03
8.700000e-01	7.455109e-02	4.111084e-02	8.255415e-02	3.309627e-02	6.646018e-02	2.809515e-03	4.888556e-03
8.750370e-01	7.283575e-02	4.002785e-02	8.136217e-02	3.218170e-02	6.541377e-02	2.487494e-03	4.353331e-03
8.800000e-01	7.117716e-02	3.898537e-02	8.019989e-02	3.130176e-02	6.439333e-02	2.196843e-03	3.866444e-03
8.833463e-01	7.007669e-02	3.829623e-02	7.942334e-02	3.072031e-02	6.371149e-02	2.012467e-03	3.555386e-03
8.900000e-01	6.793151e-02	3.695869e-02	7.789695e-02	2.959236e-02	6.237109e-02	1.674657e-03	2.980889e-03
9.000000e-01	6.481606e-02	3.502989e-02	7.564933e-02	2.796723e-02	6.039695e-02	1.244630e-03	2.240333e-03
9.100000e-01	6.183252e-02	3.319810e-02	7.346076e-02	2.642558e-02	5.847412e-02	8.960867e-04	1.630878e-03
9.200000e-01	5.898244e-02	3.146241e-02	7.133466e-02	2.496660e-02	5.660557e-02	6.187560e-04	1.138511e-03
9.300000e-01	5.626720e-02	2.982198e-02	6.927424e-02	2.358952e-02	5.479408e-02	4.078196e-04	7.585444e-04
9.400000e-01	5.368804e-02	2.827594e-02	6.728244e-02	2.229356e-02	5.304220e-02	2.514125e-04	4.726556e-04
9.500000e-01	5.124608e-02	2.682346e-02	6.536202e-02	2.107797e-02	5.135231e-02	1.409789e-04	2.678600e-04
9.600000e-01	4.894232e-02	2.546374e-02	6.351555e-02	1.994204e-02	4.972664e-02	6.358371e-05	1.220807e-04
9.700000e-01	4.677769e-02	2.419597e-02	6.174540e-02	1.888504e-02	4.816725e-02	1.469192e-05	2.850233e-05
9.800000e-01	4.475302e-02	2.301941e-02	6.005383e-02	1.790632e-02	4.667609e-02	3.911565e-08	7.666667e-08
9.900000e-01	4.286909e-02	2.193333e-02	5.844294e-02	1.700520e-02	4.525496e-02	3.652076e-08	7.231111e-08
